sep=\t
Module Resource Usage Distribution Estimates
Generated at: Oct 17, 2023 10:44:17

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
OscilloscopeInterfaceTest:OscilloscopeInterfaceTest         	   2461(14)	     630(8)	   4028(12)	   225(0)	    12(0)	
 +U0_DDR_Reset:etx_ddr3_reset_controller                    	      26(0)	      21(0)	      11(0)	     0(0)	     0(0)	
  +u_ddr_reset_sequencer:ddr_reset_sequencer_f22535be44aa4f1699b3dab9b8079372	     26(26)	     21(21)	     11(11)	     0(0)	     0(0)	
 +u_DDS:DdsModule                                           	     19(19)	     23(23)	     86(86)	     0(0)	     0(0)	
 +tri_ctrl_o:tri_ctrl                                       	     85(85)	       0(0)	       8(8)	     0(0)	     0(0)	
 +u_FIFO_DATA_RECV:fifo_data_recv                           	    136(21)	     41(11)	     94(34)	     1(0)	     0(0)	
  +u_WAVE_BUF_FIFO:WAVE_BUF_FIFO                            	     115(0)	      30(0)	      60(0)	     1(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_41b5460d540e453c971e2e9b7151951b_renamed_due_excessive_length_1	     115(4)	      30(0)	      60(1)	     1(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_41b5460d540e453c971e2e9b7151951b(MODE="FWFT",RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	     1(1)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_41b5460d540e453c971e2e9b7151951b(SYNC_CLK=0,MODE="FWFT",ALMOST_FLAG=0,PROG_FULL_ASSERT=128,PROG_FULL_NEGATE=128,PROG_EMPTY_NEGATE=2,OUTPUT_REG=1,HANDSHAKE_FLAG=0)	    111(71)	     30(30)	     59(23)	     0(0)	     0(0)	
     +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_41b5460d540e453c971e2e9b7151951b(WIDTH=10)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	
